Nama,Sentimen,Ulasan
ergha24 official,Positif,sayang nya bentuknya terlalu simple
Eri Panca,Positif,Jakarta memiliki stadion sepak bola 10 besar di dunia di era Pak Anies Baswedan
erik,Positif,pasti pak anis jdi presiden 2025.saya berani taruhan
Erik Kantona sebastian,Positif,STADION KEBANGGAN DAN THE JAK MANIA
Erik Said,Positif,Megah
Erik Setiawan,Negatif,Barusan parkir cuma sebentar dan foto foto kena uang parkir 2000 orang nya maksa . Tolong dong kalo gitu jadi risih rusak lingkungan
erik_bin_syarif,Negatif,Bikin macet !
Eris Soeparno,Positif,"bayangin suaranya bung ahay.
""selamat datang pada fifa matchday INDONESIA VS CURACAO yg diselenggarakan di Jakarta internasional stadium"""
eritmo,Positif,boleh buat pinal liga champions di jakarta Sukarno
Erna Wati,Positif,ini kerja pak Anis👍
Erna Waty,Positif,Good banget tempatny
Erni Lidiya,Positif,"Dari luar sudah terlihat sangat megah,, tapi belum bisa masuk kedalam"
Ersan Hasan,Positif,terimakasih p.jokowi
Erw1n.S,Positif,bisa dipakai piala dunia nih
Erwin Kurniawan S.E M.M,Positif,Salat ied aman dan lancar
Escobarrr6969,Positif,terima kasih pak Anis 👏👏🔥
eslilin,Negatif,gbk udah
estes789,Negatif,@estes789:masih belum bisa bayangin 70.000 orang keluar dalam waktu yg bersamaan apa gk ngulangin tragedi kanjuruhan...???
Estu Saputro (ESTPR),Negatif,Ga ada tempat parkirnya gais
esuryana28,Negatif,Tiket Jak Tiket
ʙᴇɴɴʏ ᴅʜᴀᴍᴍᴀᴠɪʀᴏ,Positif,"wkwkwkwk Ngakak.. 😅
Liat aja nanti sipa yg resmiin... 😂😂😂😂😂😂"
Euis Noors,Positif,"1 juni 2022 , project Jakarta International Stadium belum selesai 100 persen, tapi pagi ini sdh banyak pengunjungnya yang ingin masuk dan mencoba untuk bisa berolahraga disana, tapi belum bisa, jadi hanya bisa photo2 di depan stadion saja, mudah2an cepat selesai gedung stadion nya"
Eva Jabar,Positif,Kerennnn stadion nya....
Evan Putradwianto,Positif,Luar biasa mahakarya indonesia.. stadium terbesar
EVAN'S,Negatif,Saya hanya bisa lihat dari luar tidak boleh masuk satpamnya
EVOS RannzzZ,Negatif,gimana nih tetangga sebelah? 😏😂
Evos_Fams-W.O.R.L.D,Negatif,"Stadion Nya Kapan Di Buka?? Katanya Bakal Ada Team"" Besar Dari Europa Buat Jajal Rumputnya😅Gua Mau Nabung Dulu Guys Buat Nonton Langsung🥰INDONESIA"
Exo Starco,Positif,Stadion yang megah dan sangat membanggakan bagi warga jakarta disamping stadion Bung Karno yang sudah menjadi milik warga indonesia
EY Highlight,Positif,pssi segala2nya🥰
ꞀOꓕNOꓘ,Positif,Jayakarta Internacionale Estadio
Eza Suteja,Negatif,"bukan standart PSSI, standart PSSI yang kalau ujan bisa tambak lele 😂"
Ezra Indriyati,Negatif,"Keren, tp kalau untuk konser, tidak terlalu bagus untuk audionya"
Ezra Septimo,Positif,Jis keren banget
F E L I X ツ 🇮🇩,Positif,keren 🥰
F. E. Febriansyah Pusat Edukasi Ilmu Komputer (PeTiK),Positif,tempat yg akan mempersatukan bangsa #insyAllah
F3,Positif,wah berarti bisa selebrasi knee slide dong
F4dilz9,Positif,jis berasa stadion Lusail Studium
F4LㅤWldanᴴᵀᴿ,Negatif,sayangnya Jakarta di perkirakan akan tenggelam
Fabian Nicole,Positif,Akhirnya DKI Jakarta punya Stadion Bagus bangga jadi Warga Negara Jakarta 🥰... Cepet2 pindah gih Pemerintah Pusat ke kalimantan biar adem ga ribut 😂
fachlani14,Negatif,Baladewa tai anjing.. Stadion buat konser tai
fachrul_ucoks,Positif,"yg masih ada tiket, dm dong"
fadel.muharam,Positif,info tiket gan dm
fadhiluun,Negatif,ah cacad masa beli tiket barengan tapi gabisa duduk sampingan sih😃👎
Fadil M Alzufri,Positif,Kaya di san Siro
Fadil Syafii,Positif,Sangat baik
fadil_instt,Negatif,Pemasukan JIS SEPAK BOLA❎KONSER ✅
Fadli Akbar,Positif,(+) fasilitas² di dlm 🏟️ layak di banggakan 👌🏼(-) akses jln menuju 🏟️ 🛣️🛵🚙🚌 masih prlu di perbanyak(-) luas lapangan parkir kendaraan pribdi masih jauh dari kata: layak
Fadli Y. Anwar,Positif,wow kren indonesiaku🥰😍
fadlon798,Negatif,kapan ya di Indonesia ada piala 🏆 dunia 😅😅😂😂
Fahmi Ariessandy,Positif,"Mantep 👍, stadion termegah menurut saya pribadi 👍 terimakasih pak Anies Baswedan Dkk 🙏"
Fahmi Mardiansyah,Positif,ya Allah kapan y liat Indonesia main di piala dunia semoga bisa main aminnnnn dan aku yang main
Fahmi Ramdhani,Positif,Kemegahan Santiago Bernabeu yang tidak ada duanya dibanding stadion di indonesia
Fahmi Saefuddin,Positif,"Bagus tapi sayang belum ada yang gunakan baik timnas maupun club, entah lah cukup di lihat saja."
Fahmi Saeviyan,Positif,Keren bngt si
Fahrii🌙,Negatif,"semoga aja gk di adakan dukun ups😶kecuali pengajian, contoh lah qatar"
faildz,Positif,cis dulu yg udh pernah ke sono
Faiq San,Positif,semoga gk di rusak🥺
faisal,Negatif,"mahal sewanya,,,"
Faisal Agung327,Negatif,meskipun udh std FIFA tpi blom std PSSI 😂kan std PSSI harus dikit tribunnya dan becek trus😂
faisal anwar,Negatif,Semoga PSSI segera sadar
Faisal Bakrie,Positif,"Suasanya sejuk, Cocok buat olahraga santai bareng keluarga saat ada waktu sengang"
Faiz Athallah,Positif,Bersih lingkungan nya
faiz_erfa_ghazali,Positif,"Pakar transportasi, pakar keramaian, waktu dan tempat kami persilahkan.."
faizrfiptra,Negatif,Tau gitu mending gosah bikin stadion pak
Faizz,Positif,Santiago Bernabeu vibe
Fajar Darmanto,Positif,Stadion megah milik Jakarta yang tak kalah dengan stadion di luar negeri
fajar kencenk,Positif,Masyallah karya asli anak bangsa bisa sebagus ini.luar biasa
Fajar Muhamad,Positif,Stadion megah kapasitas 82.000 pengunjung
Fajar Priatmodjo,Negatif,"Jakarta Internasional Stadium, stadion keren yg lebih banyak dipakai buat konser dari pada nonton bola"
Fajar Priyatno,Positif,tempatnya keren
Fajar Rachman,Positif,Tempatnya keren
fajar_17,Negatif,sudah standard FIFA tapi belum standard PSSI karena gaada lintasan lari katanya
fajar123_83,Positif,janji gak dirusak suporter ☝️
fajarabdyla,Positif,Fyi lebih enak naik kendaraan umum ya dibdning kendaraan pribadi
fajarfauzi47,Negatif,"WTB tiket Festival A, COD di JIS hari H"
Fajarrr,Negatif,Tiketnya mahalin biar ga dirusak2
Fajarshobah Ajang,Positif,Semoga tidak hanya jadi pajangan  stadion terbesar Indonesia saat ini.....semoga event Timas Indonesia main senior ataupun junior .......dan acara concert ok jg di pakai ..dan pastiny kandang club' the jack mania  Persija Jakarta
Fajrisyah_,Negatif,"Insecure ama stadionnya, Tapi kualitas kamera gk bisa boong YGY!? Coba aja kualitas kameranya sama kaya Laliga 🥰"
fajrul:)👻💦,Positif,"cocok buat 2025
permision to dance"
faniriska02,Negatif,"tinggal nunggu undangan,buat hadirin tahlilan😬"
Fann,Negatif,tinggal kualitas kamera sma var doang
fans akang mv,Positif,buat pildun nantik
Fans Tv 21 (Widi Channel),Positif,Stadium impian jakartaKeren abis....Ada anis ada JIS
Fardhan Alfatih,Positif,Stadion bagus tapi sayang dipersulit untuk main bola
farhan,Negatif,"ini tidak masuk standar PSSI tapi masuk standar fifa, mau heran tapi"
Farhan,Positif,bagus bangat
Farhan,Negatif,asa kagok liangna sakitu mah Mun arek make terpal
Farhan Dika,Negatif,Jangan heran kalo JIS
Farhan Fadillah,Positif,Stadion terbesar yg pernah saya kunjungi!
Farhan Julifio Z,Positif,Mantap stadion taraf internasional kelas eropa di indonesia
Farhan Turmudi,Positif,Stadion megah mewah . NONTON DI RUMAH SAJA
farhana abudan,Positif,"Kereeeeeeeeeeeen.. luar biasa Masya Allah.  ya gimana sih standard internasional, bagus deh pokoknya, asal dirawat ja ya.. soalnya percuma klo fasilitas bagus tapi pengunjungnya pada gak bisa ngejaga, g muluk"" minta dirawat hehe dijaga ja dah udh besyukur bgt. Be a smart people, Klo rusak yg malu kita juga."
farid_yt,Positif,kerennn
Farid143,Negatif,dimana tempat nya
Farly Glend Karauwan,Positif,Hebat Presidenku dan Pak Ahok🥰🥰🥰
farsty,Negatif,sebenernya Indonesia bisa tapi kalau semua nya tidak ada korup
FARZAN.KIDS,Negatif,di bngun bgus tapi gk di pake
FASHION QUALITY.,Negatif,Dan tiba2 mati lampu jleb🗿
fastroonn,Positif,Lagu yg membuat masa kecil ku menonton piala Dunia berasa nonton langsung dan berasa hiforia nya
fatchur rozi,Positif,Waaooo.....stadium ya
fathan WITJAKSONO,Positif,Terbaik se asia mantap
Fathur Rahman,Negatif,"Stadion keren malah jarang mefia yg sorot. Kenapa ya kira². Apakah karena lokasi???, ataukah dibalik era pembuatnya,"
fathur.ah,Negatif,Oh itu stdion gua kira tempat teater
Fatih Alikhlas,Positif,"JIS(Jakarta Internasional Stadion).Sekelas internasional setelah penantian selama 13 tahun,Akhirnya tercetuskan juga.👍🏽"
Fatima Ulya S,Positif,"Stadiumnya bagus, seatnya rapi, akses ke sini pun mudah karena sudah ada busway langsung ke JIS. Minusnya toiletnya bau dan tidak bersih. Siang di sini sangat panas, tidak ada jalur teduh. Utk musholla, tolong diberi sekat antara jamaah pria dan wanita."
Fatimatus Zahro,Positif,Stadionya bagus tapi sayang areanya kecil sekali klo dibandingkan besarnya stadion dan pengunjung yang banyak
Fatma Heru,Positif,"""KEMEGAHAN JIS YANG TAK ADA GUNANYA"",percuma megah kalau tak berguna sesuai fungsinya ygy"
Fauzan Klik,Positif,Danau Cincin kiri background JIS Jakarta Utara
fauzanmukhliskhiari,Positif,Stadion besar stadion megah hanya buat konser
fauzi wandika,Positif,The new stadiumWarna baruDan semoga jadi harapan baru untuk sepakbola Indonesia pada umumnya
FayRossoneri27_,Negatif,syg skali g ada parkiran nya
FdY,Negatif,Percuma diindonesia punya stadion bagus tapi gada VAR
FeaA,Negatif,stadion khusus konser
Febi agustian,Positif,itu lapangannya udah di resmikan belum bang
Febian Muhammad Roehan,Positif,Stadionnya bagus banget
Febri Heriyawan,Positif,stadion indah kaya gini masih dianggap belum standar FIFA atau belom layak
Febrian syah,Positif,Stadium yang amat megah dan modern tampungan yang besar dan standar FIFA.Kekurangan minimnya lahan parkir banyak parkir liar apabila ada event besar macetnya minta ampun
febrian_maulana,Positif,Alhamdulillah pernah mampir kesana
febrinurdiantoktokan,Positif,gak usah gengsi pake jis. pake aja pak
fedi fedi,Positif,Nyaman.. Suasana baru. Parkiran luas.
Felix,Positif,"gw lewatin stadium ny pas gw ke Ancol trs pas MLM"" keren bngt apalagi itu udh jam12 mlm"
Felix Marcell,Positif,stadion terbesar dan terbagus yg pernah di lihat
FeLyx,Positif,semoga nanti timnas senior masuk pildun dan memakai stadion JIS gak kebayang
fembiarta,Positif,Siapppppp🔥🔥🔥🔥
Ferdi Nal,Positif,"Merasa bangga,,, stadium nya megah"
Ferdiansyah Cahyadi,Positif,Stadion kelas Internasional dan hanya satu-satunya di Jakarta bahkan di Indonesia saat Ini (2020)
Ferdy,Negatif,"Big questions, apakah akan terawat dan berguna dengan semestinya?"
Ferdy MD,Positif,"Megah, luas, sangat rapi dan bersihBenar-benar stadion bertaraf internasional.Mantap!"
ferianrian95,Positif,"mantap pak Anies Baswedan
calon pres 2024👍💪💪"
fernandoimmanuel,Positif,dalamnya serasa old Trafford
Fernandus Lukky,Negatif,stadion elit lahan parkir sulit😂😂😂
Ferry,Negatif,Konser Dewa 19..Sound system nya buruk sekali..Tidak terdengar jelas bagi yang duduk di tribun atas ..
ferry kastrol1982,Negatif,Barca n Juventus bakal main di stadion JIS ini InsyaAllah Desember thn ini dgn grub band BTS jg konser InsyaAllah 👍
feryansaputraa,Negatif,Eman suket e rek
feyi,Positif,lagu ini teringat iklan Coca cola 2010🥺
FF_ YEFTA,Positif,Home Base  Club
fhanie Fhanie,Positif,"Salut sama pak Ahok dan pak Jokowi,  kerja nyata.,"
fharel⚪🔴,Negatif,masalahnya belum standar pssi😂
fharel⚪🔴,Negatif,bagus tpi masih bnyk kekurangan😏
Fif_a,Negatif,"yang penting itu ada di Indonesia,heran gua pada rebutan stadion wkwk"
Fifa,Positif,"waww mirip stadion Real Madrid, Santiago Bernabeu. 😍"
fifi amnafifi,Positif,"pelayanan salonnya sangat baik, ramah. dan hasil smootingnya TOP BANGET.. terima ksh fifi salon"
fii ♈,Positif,masyaAllah keren sekali😍
fijaltanjung,Positif,gitu liat bacaan ruang pemanasan eh rupanya Indonesia
fijaltanjung,Positif,kirain tadi di luar negri
Fik.ry,Positif,"kita pas itu lewat sini , lu tidur sih wkwkwk"
Fikri Mzdi,Positif,"pendukung Persija belike:""PUNYA PERSIJA ITU PUNYA PERSIJA ITU .."",Kocakkk"
fikrihaekal29,Negatif,Stadion untuk pertandingan bola ❌Stadion untuk konser musik ✅
Fikry Ayub,Positif,"Gede, nyaman nih Konser DEWA 30th.. Pecah!!!!!"
FINAL CHOICE,Positif,Kalau saya senang Stadion Utama Indonesia
Finsa Muhammad ikhsan,Positif,"kalo di luar negeri itu stadion biasa, tapi kalo di indo itu spesial"
firdaus,Positif,serasa nonton cuplikan piala Dunia.....
Firdaus Manah,Positif,kalau dari luar hampir mirip Allianz Arena (Bayern Munchen)
Firdha Novita,Positif,"Tempatnya luas banget, fasilitasnya oke, toilet bersih meskipun lagi ada event gede, bangunannya megah, tempat parkir luas."
Firman Ktl,Positif,"Keren bnget, tapi sayang standard bukan standard PSSI 🤣"
Firman Maulana1698,Negatif,lahan parkir nya cuma muat buat motor aj😅
Firman Satriawan,Positif,Stadion terkeren dijakarta saat ini
Firman Smart Detox,Positif,Saking kerennya setiap sudut difotoin
firmansyah.257,Negatif,Ada tiket  2  nih silver selatan.
Firza Nugraha,Negatif,PSSI diatas PBB soalnya mangkaknya standar nya tidak masuk di akal😁
fitrah,Negatif,ehh mau kalau stadionya udh kokoh alat bertnya gimna keluarnya yh?
fitrianoor742,Positif,nunggu bgt coach sty dan pasukan bisa main disini
Flambouyans Eries,Negatif,"Hanya karna gengsi politik, stadion ini terbengkalai begitu saja sayang sekali"
FM,Positif,"Tampak depan, keliatan megah"
Fndi191101,Negatif,"stadion elit
kamera sulit"
FORWARDS,Negatif,Tidak ada parkir dan akses jalan masuk dan keluar cuma 1. Ketika ada acara hanya bisa mengandalkan busway. Mencari dan menunggu taxi sangat susah. Kapok datang pada saat acara
Fredy Budiman,Positif,"Stadion kereee, duit segitu hanya dapat stadion kere kaya gitu, jauh ama stadion negara tetangga"
frengkylaoli,Negatif,tpi gk di gunakan pada pildun u20 sayang sekali😄
FREXZ,Positif,yg main bola kehujanan yg nonton gak kehujanan😂
frhn_arrasyid,Negatif,Fungsi nya stadion itu untuk konser atau pertandingan bola sih?
frihatnala1,Negatif,Ada yg nonton sendiri di fest a?
frisco,Negatif,kamera nya masih kurang
Frisco Simanjuntak,Positif,Kesini waktu pembukaan JIS 24 Juli kemarin. Sangat bagus sekali dan arsitekturnya modern.
frostbit.,Negatif,tidak standar PSSI tapi standar konser
ftbllbacot,Negatif,Penyefong JIS munculah. Noh banyak yang komplen soal akses dan transportasi yang belum memadai. Kalo maksa buat bola full house 80rb+ yakin bakal kayak Kanjuruhan.
fuckyourfriends,Negatif,kan PSSI jauh lebih bagus dibanding FIFA menurut PSSI doang si tp HAHA
furqon.77,Negatif,emot apiii
fxvxzy,Negatif,Yuk bisa yuk rumput nya di semen aja sekalian gak ada gunanya gak pernah buat bola
FZN,Negatif,estadio pakansari arena yg langganan dan stardart pssi tentunya🤣🤣🤣🤣
G Eleazar,Positif,"Tempat bagus, akses dan fasilitas luar masih perlu dbangun utk lebih bagus"
Gabriel Labia,Negatif,"Stadionnya kotor, kursi berdebu, tangga bnyak tai kucing, bangunan baru terkesan tidak terawat, parkir susah, akses jalan sempit dan dekat pintu kereta sangat bahaya"
GAGAL TAMPAN,Positif,harus bangga
Galery HINO,Negatif,Macet nya parah pas mau exit
Galih Ikhsan Koesviandomo,Positif,Bener-bener bagus banget
Galih Wijonarko,Positif,Salah satu stadion terbaik ditempat yg dulu nya konflik
galihzz,Positif,jangan sampe di rusak yaa
Gamal Hamzah,Negatif,06.30 s/d 03.10....terdampar di JIS
ganesa234,Positif,satu satunya janji pak anies yang di tepati🗿
ganjar tuhana,Negatif,megah tapi tdk bisa digunakan utk even besar dengan banyak penonton. bisa chaos itu.
Gank Jg,Positif,"Stadion megah kebanggaan dki jakarta yg berstrandar fifa,, juga kebanggaan indonesia"
Ganzz,Positif,STADIUM nya kaya OLD TRAFORD
Gapong Scooterist,Positif,Keren abis jakartaPresiden Anies Baswedan
Gaspoll,Positif,aniss terbaikk😁
Gatara,Positif,keren persija RUMAH BARU NYA MAKASIH PAK ANIS JANJINYA🙏👆🐯🐅😁
GATAU SYAPA,Negatif,harusnya perbanyak setadion seperti ini supaya nanti pas 2034 udh siap semunya
gatot soejono,Positif,"Selamat! Pemda DKI dibawah kepemimpinan Bapak Anies Rasyid Baswedan sukses membangun Jakarta Internasional Stadion (JIS) yang sangat megah & canggih, dibangun oleh putra-putri bangsa sendiri, wajib dijaga & dimanfaatkan untuk kemajuan olahraga, kegiatan masyarakat, rekreasi, untuk warga DKI & seluruh masyarakat Indonesia"
GATOTKACA,Positif,gua pengen timnas main disana
gatt.vib,Negatif,standar pssi itu di kasih pager tinggi berasa di ragunan
Gatztot Suseno,Negatif,"cuma tempat parkirnya si kurang,coba tmpat parkirnya di benahi"
Gembulls ID,Positif,Kurang di bagian akses transportasi umum dan dirusakOleh orang2 yg tidak bertanggung jawab fasilitasnya
Gemini92,Negatif,kenapa stadion nya gak terpake
gemoy😝,Positif,"yaampun gak nyangka di dket ak ada JIS yg sekeren ini
semenjak udh boleh dteng ada bazar jg jd olahraga ku tambah semangat"
GemZ adv,Positif,(Diterjemahkan oleh Google) Markas Besar Persija(Asli)Markas  aing yeuh
Gendhis Vlogs,Positif,Stadion samping rumah yg amat sangat besaaaaarrrrr
George CK,Positif,"tunggu 1 tahun mungkin akan lbh indah setelah berbenah dulu di sekitaran stadion ditata lbh rapi, indah infrastruktur, transportasi"
Gestun Lazada,Positif,Lokasi ini sangat strategis untuk berbisnis
geu8638,Negatif,"gak ada lahan parkirnya
stadium asal buat perencanaan kurang"
Ghinadhia Hamdasari,Positif,"Megah banget keliatan dari luarnya, pingin nyobaiin masuk ke dalam, tapi masih dalam tahap pembangunan"
Ghopunk Android,Positif,"1 mei 2022Malam takbiran idul fitri 1443h mampir melihat suasana JIS saat takbiran, tidak bisa melihat kedalam stadion, hanya area luar saja. Semoga stadion sebagus ini bisa menyemangati rakyatnya, sehingga menghasilkan prestasi di berbagai bidang."
ghozi:),Positif,"keren, ni yang anies baswedan buat kah?"
Gianto Pak,Positif,"Stadionnya megah, fasilitasnya bagus, ramah difabel"
Gideon Ruhukail,Positif,Tempatnya bagus cuman pas ada acara masih belum rampung pengerjaannya
gilang rachmat,Positif,"Belum jadi semuanya, masih proses interiornya, rumputnya uda jadi, bangku stadion sebagian kecil yg baru terpasang, tapi ga sabar bakal kesana lagi kalo uda jadi"
gilangdzulfikarr,Positif,"Min, kalo buat orang tua apakah bisa naik lift ke tribun silver??"
Gina Mirta Wahyuni,Positif,Bagus stadion bertaraf internasional dengan fasilitas yg sangat lemgka
